serie1,serie2
1.63,0.607361963
1.63,0.607361963
1.28,0.7734375
1.37,0.722627737
1.43,0.692307692
1.3,0.761538462
3.81,0.25984252
1.8,0.55
1.93,0.512953368
1.73,0.572254335
3.5,0.282857143
2.37,0.417721519
2.81,0.352313167
1,0.99
1.89,0.523809524
1.67,0.592814371
2.12,0.466981132
30.89,0.032049207
2.62,0.377862595
7.17,0.138075314
1.5,0.66
6.45,0.153488372
4.98,0.198795181
2.62,0.377862595
10.33,0.095837367
1.6,0.61875
1.39,0.712230216
2.24,0.441964286
2.33,0.424892704
2.93,0.337883959
1.39,0.712230216
4.63,0.213822894
22.51,0.043980453
1.1,0.9
22.89,0.043250328
2.14,0.462616822
1.32,0.75
1.3,0.761538462
1.19,0.831932773
4.71,0.210191083
2.1,0.471428571
1.13,0.876106195
1.17,0.846153846
2.39,0.414225941
2.14,0.462616822
2.81,0.352313167
3.95,0.250632911
1.21,0.818181818
1.8,0.55
1.82,0.543956044
1.56,0.634615385
11.22,0.088235294
1.37,0.722627737
3.81,0.25984252
17.17,0.057658707
3.58,0.276536313
1.02,0.970588235
3.02,0.32781457
1.52,0.651315789
2.72,0.363970588
2.66,0.372180451
3.02,0.32781457
4.59,0.215686275
4.66,0.212446352
2.31,0.428571429
1.6,0.61875
4.08,0.242647059
1.43,0.692307692
1.65,0.6
1.63,0.607361963
12.56,0.078821656
22.16,0.04467509
6.45,0.153488372
4.01,0.246882793
2.47,0.400809717
1.67,0.592814371
3.43,0.288629738
1.17,0.846153846
1.1,0.9
1.86,0.532258065
2.54,0.38976378
364.63,0.002715081
3.93,0.251908397
6.05,0.163636364
1.52,0.651315789
1,0.99
3.16,0.313291139
4.09,0.24205379
1.12,0.883928571
7.62,0.12992126
1.71,0.578947368
1.62,0.611111111
1.62,0.611111111
1.41,0.70212766
1.15,0.860869565
10.14,0.097633136
2.5,0.396
1.19,0.831932773
3.68,0.269021739
1.43,0.692307692
2.47,0.400809717
1.17,0.846153846
2.27,0.436123348
1.17,0.846153846
4.51,0.219512195
1.34,0.73880597
1.1,0.9
4.54,0.218061674
1,0.99
1.02,0.970588235
1.12,0.883928571
1.87,0.529411765
1.52,0.651315789
2.16,0.458333333
6.32,0.15664557
1.52,0.651315789
1.6,0.61875
1.13,0.876106195
2.68,0.369402985
18.64,0.053111588
1.93,0.512953368
18.12,0.054635762
2.64,0.375
2.18,0.45412844
3.31,0.299093656
1.02,0.970588235
76.87,0.012878886
1.52,0.651315789
1.6,0.61875
1.84,0.538043478
33.65,0.029420505
1.37,0.722627737
3.14,0.315286624
1,0.99
3.39,0.292035398
2.7,0.366666667
3.06,0.323529412
2.77,0.357400722
4.2,0.235714286
1.65,0.6
1.39,0.712230216
3.68,0.269021739
1.71,0.578947368
1.69,0.585798817
0.97,1.020618557
1.06,0.933962264
3.95,0.250632911
1.21,0.818181818
1.28,0.7734375
2.41,0.410788382
1.56,0.634615385
2,0.495
1.97,0.502538071
7.41,0.133603239
1.02,0.970588235
5.55,0.178378378
1.65,0.6
1.43,0.692307692
9.01,0.109877913
1.52,0.651315789
1.34,0.73880597
1.26,0.785714286
2.27,0.436123348
11.96,0.08277592
1.97,0.502538071
1.71,0.578947368
16.57,0.05974653
2.39,0.414225941
8.35,0.118562874
6.75,0.146666667
3.14,0.315286624
0.97,1.020618557
1.62,0.611111111
3.6,0.275
2.35,0.421276596
2.1,0.471428571
15.66,0.063218391
2.16,0.458333333
2.25,0.44
1.04,0.951923077
3.62,0.273480663
5.7,0.173684211
1.93,0.512953368
2.87,0.344947735
1.91,0.518324607
2.47,0.400809717
3.79,0.26121372
14.69,0.067392784
1.54,0.642857143
2.7,0.366666667
1.8,0.55
1.12,0.883928571
2.33,0.424892704
1.65,0.6
2.58,0.38372093
17.3,0.057225434
9.03,0.109634551
6.78,0.146017699
6.82,0.14516129
1.3,0.761538462
3.74,0.264705882
7.13,0.13884993
23.44,0.042235495
1.41,0.70212766
1.15,0.860869565
1.89,0.523809524
1.21,0.818181818
1,0.99
1.87,0.529411765
14.51,0.068228808
1.58,0.626582278
3,0.33
3.54,0.279661017
1.43,0.692307692
2.45,0.404081633
2.56,0.38671875
4.82,0.205394191
1.12,0.883928571
6.54,0.151376147
2.45,0.404081633
1.62,0.611111111
1.8,0.55
1.34,0.73880597
8.01,0.123595506
3.04,0.325657895
126.71,0.007813117
1.26,0.785714286
1.06,0.933962264
3.29,0.300911854
4.36,0.22706422
1.02,0.970588235
5.21,0.190019194
2.35,0.421276596
2.72,0.363970588
3.04,0.325657895
1,0.99
1.69,0.585798817
1.87,0.529411765
7.37,0.134328358
1.1,0.9
31.76,0.031171285
1.23,0.804878049
1.36,0.727941176
4.04,0.245049505
1.04,0.951923077
2.12,0.466981132
1.36,0.727941176
2.47,0.400809717
4.25,0.232941176
1.63,0.607361963
1.78,0.556179775
2.14,0.462616822
1.52,0.651315789
1.28,0.7734375
15.17,0.065260382
6.28,0.157643312
9.88,0.100202429
19.3,0.051295337
1.8,0.55
1.02,0.970588235
4.36,0.22706422
2.83,0.349823322
1.1,0.9
2.04,0.485294118
4.25,0.232941176
1.15,0.860869565
14.43,0.068607069
7.41,0.133603239
1.02,0.970588235
1.17,0.846153846
1.19,0.831932773
0.97,1.020618557
4.13,0.239709443
1.47,0.673469388
1.58,0.626582278
1,0.99
2.33,0.424892704
17.46,0.056701031
1.12,0.883928571
6.08,0.162828947
3.95,0.250632911
1.62,0.611111111
2.7,0.366666667
1.86,0.532258065
1.06,0.933962264
1.8,0.55
1.02,0.970588235
1.28,0.7734375
2.43,0.407407407
1.3,0.761538462
1.71,0.578947368
2.22,0.445945946
21.71,0.045601105
25.64,0.038611544
2.72,0.363970588
2.35,0.421276596
2.7,0.366666667
1.56,0.634615385
5.5,0.18
2.25,0.44
6.32,0.15664557
1,0.99
3.6,0.275
16.83,0.058823529
1.21,0.818181818
1.37,0.722627737
3.91,0.253196931
1.23,0.804878049
1.12,0.883928571
1,0.99
3.64,0.271978022
2.12,0.466981132
1.08,0.916666667
1.06,0.933962264
1.95,0.507692308
1.1,0.9
1.71,0.578947368
2.33,0.424892704
1.19,0.831932773
1.36,0.727941176
1.1,0.9
6.44,0.153726708
1.26,0.785714286
1.47,0.673469388
1.08,0.916666667
1.17,0.846153846
1.26,0.785714286
1.26,0.785714286
2.08,0.475961538
1.34,0.73880597
1.73,0.572254335
6,0.165
3.16,0.313291139
2.1,0.471428571
